Model,Month,Month_Name,Actual_TWSA_mm,Actual_Std_mm,Predicted_TWSA_mm,Predicted_Std_mm,Residual_mm,Residual_Std_mm,Sample_Count
RandomForest,11,Nov,-8.304689755411799,9.195795524958092,-7.324359475697555,8.049904546204564,-0.9803302797142444,2.8335687978603032,660.0
RandomForest,12,Dec,-12.881172219932182,8.702370762637676,-12.290276474826822,8.19529827197072,-0.59089574510536,1.8957638985930483,682.0
XGBoost,1,Jan,-15.635841860469602,8.572568426879771,-15.307770185275071,7.664164982480166,-0.32807167307593493,2.8947689362941684,682.0
XGBoost,2,Feb,-18.14151928351521,8.644193400445452,-17.64517340379421,6.857764728526302,-0.49634589452972816,3.6314483871414054,622.0
XGBoost,3,Mar,-19.89533794218851,8.689874829062685,-18.0545653872434,6.504838445289076,-1.8407725694837516,4.552335313962939,682.0
XGBoost,4,Apr,-19.704531891921533,9.003632462462516,-17.48668998260615,7.084575399223548,-2.2178419032614527,4.391040250441861,683.0
XGBoost,5,May,-16.871714668690252,9.79649480668837,-15.056369882776998,7.696787574155151,-1.8153447864408563,4.711975227123654,713.0
XGBoost,6,Jun,-8.78410343254844,11.31615485182099,-8.431229653292753,9.425508692924438,-0.35287378008944836,5.221311306973911,690.0
XGBoost,7,Jul,0.9712807148894651,11.91559766295667,1.368252411748948,8.265258500121805,-0.3969716969009046,5.5340482824765775,713.0
XGBoost,8,Aug,5.929308969569992,12.11685115478243,6.868586984141655,8.47520311607706,-0.9392780027525423,5.407318563277795,713.0
XGBoost,9,Sep,4.970348780438267,11.502220948108484,6.659079428210893,7.909986123455943,-1.6887306425049253,5.356455924026778,661.0
XGBoost,10,Oct,-1.2235807439695159,10.174046598567116,0.1571457752589443,7.161056704709978,-1.3807265192375886,5.2557746292793,682.0
XGBoost,11,Nov,-8.304689755411799,9.195795524958092,-7.345687636188636,7.029686921434858,-0.9590021185062381,4.18685828983308,660.0
XGBoost,12,Dec,-12.881172219932182,8.702370762637676,-12.343432770762462,8.055334450380911,-0.5377394551226786,2.860745101151312,682.0
