well_id,lat,lon,n_months,RMSE,MAE,MBE,R2,NSE
24.0456_78.9672,24.0456,78.9672,65,151.67973310561996,122.46872005957437,81.91974901060196,0.24031576758345335,-9.810482572800991
24.0500_75.4897,24.05,75.4897,64,147.69563401793002,118.64789900406674,-25.13464634603946,0.4458447378872914,-3.9256356979105114
24.0500_83.1000,24.05,83.1,62,166.86514722952944,131.57111038911745,-60.419894163577354,0.009862457340092353,-3.1079168931940737
24.0528_75.0842,24.0528,75.0842,65,153.33811173511182,124.30234044990301,-57.88082238544991,0.4267914476179577,-1.051950001998181
24.0656_79.6397,24.0656,79.6397,64,156.56559911825963,120.10315123952722,94.53829695668153,0.1893837091065446,-5.412856758147695
24.0769_75.6425,24.0769,75.6425,65,144.15115125109608,119.63022546678629,-7.980076672363711,0.49447771855114586,-4.144763151064605
24.0800_76.1550,24.08,76.155,65,127.28164863725168,106.11403789468325,10.211691324979714,0.41884187514075394,-3.9167232355849846
24.0986_77.6886,24.0986,77.6886,66,134.98000095815283,105.20046304755395,62.10167623714897,0.23332176825883266,-5.700598594291446
24.1014_81.8192,24.1014,81.8192,64,96.1700037822559,72.48656922134191,36.762911926724826,0.571843372426897,-0.30218794176122854
24.1039_80.5764,24.1039,80.5764,61,146.36547732112558,113.00082745649757,75.20723933085034,0.23146295535801467,-17.89238457729416
24.1147_77.8192,24.1147,77.8192,63,143.65731187469726,111.4680688534539,67.84688679602448,0.21407007999920527,-8.828248296114548
24.1156_81.7500,24.1156,81.75,62,115.81260989186312,82.50065180610532,49.02629481877111,0.4025320991414939,-1.2257337747399437
24.1167_83.0550,24.1167,83.055,63,122.62373093968874,92.79777409264437,-21.05653286207597,0.5346785571757591,-10.546636599169345
24.1250_78.0433,24.125,78.0433,63,152.6947369817789,120.26844850537542,81.14717772617865,0.14849986635904627,-4.428197653500825
24.1264_80.8681,24.1264,80.8681,63,139.27473194288362,113.5648829871641,-15.71380012655491,0.3596414087490364,0.29118399297064335
24.1300_76.3139,24.13,76.3139,62,118.3188098350739,96.53590189749892,-6.445096984456854,0.46550929671294616,-2.0457564650004647
24.1356_77.0100,24.1356,77.01,61,115.38209858717308,91.7673883562955,24.943970321368667,0.3087654572746225,-0.9679028797461555
24.1619_81.8625,24.1619,81.8625,65,115.33202744322142,82.61795342784423,28.73707083356083,0.5135684945653908,-9.632333455396587
24.1714_80.6772,24.1714,80.6772,64,116.96136510120297,94.88419091603302,48.50864841610284,0.40350383746220037,-7.178790453942279
24.1750_79.6708,24.175,79.6708,63,167.6353961008067,126.35607667263032,96.19477385407441,0.04154924272472471,-7.440156520529484
24.1792_84.0250,24.1792,84.025,55,139.85991470098935,116.16159564347844,-60.311308759170366,0.3280123112285726,-5.433448549683009
24.1817_79.0250,24.1817,79.025,64,160.1663162686073,122.70793224520858,51.620127648156235,0.13084750415508767,-0.4514060779398743
24.1883_76.1744,24.1883,76.1744,60,127.9669901475196,107.82258988437334,-0.055154030295281584,0.4086902804448383,-3.0047939043472347
